Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Units,,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,
[0],lib_manufacturer,cec_material,lib_is_bifacial,,,cec_area,,,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_r,,,
Trina Solar TSM-245PD05.081,Trina Solar,Multi-c-Si,0,244.986000,222.900000,1.618000,1.643,0.985,60,8.470000,37.300000,7.980000,30.700000,0.005082,-0.130550,44.100000,1.584568,8.473553,0.000000,0.239657,571.361713,7.485063,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-245PD05.082,Trina Solar,Multi-c-Si,0,244.986000,222.900000,1.618000,1.643,0.985,60,8.470000,37.300000,7.980000,30.700000,0.005082,-0.130550,44.100000,1.584568,8.473553,0.000000,0.239657,571.361713,7.485063,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-245PD05.08C,Trina Solar,Multi-c-Si,0,244.986000,222.900000,1.618000,1.643,0.985,60,8.470000,37.300000,7.980000,30.700000,0.005082,-0.130550,44.100000,1.584568,8.473553,0.000000,0.239657,571.361713,7.485063,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-245PD05.08D,Trina Solar,Multi-c-Si,0,244.986000,222.900000,1.618000,1.643,0.985,60,8.470000,37.300000,7.980000,30.700000,0.005082,-0.130550,44.100000,1.584568,8.473553,0.000000,0.239657,571.361713,7.485063,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-245PD05.08M,Trina Solar,Multi-c-Si,0,244.986000,222.900000,1.618000,1.643,0.985,60,8.470000,37.300000,7.980000,30.700000,0.005082,-0.130550,44.100000,1.584568,8.473553,0.000000,0.239657,571.361713,7.485063,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-245PD05.08S,Trina Solar,Multi-c-Si,0,244.986000,222.900000,1.618000,1.643,0.985,60,8.470000,37.300000,7.980000,30.700000,0.005082,-0.130550,44.100000,1.584568,8.473553,0.000000,0.239657,571.361713,7.485063,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-245PD05.10,Trina Solar,Multi-c-Si,0,244.986000,222.900000,1.618000,1.643,0.985,60,8.470000,37.300000,7.980000,30.700000,0.005082,-0.130550,44.100000,1.584568,8.473553,0.000000,0.239657,571.361713,7.485063,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-245PD05.18,Trina Solar,Multi-c-Si,0,244.986000,222.900000,1.618000,1.643,0.985,60,8.470000,37.300000,7.980000,30.700000,0.005082,-0.130550,44.100000,1.584568,8.473553,0.000000,0.239657,571.361713,7.485063,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-245PD05.xy2,Trina Solar,Multi-c-Si,0,244.986000,222.900000,1.618000,1.643,0.985,60,8.470000,37.300000,7.980000,30.700000,0.005082,-0.130550,44.100000,1.584568,8.473553,0.000000,0.239657,571.361713,7.485063,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-245PxG5,Trina Solar,Multi-c-Si,0,245.014000,225.700000,1.680000,1.685,0.997,60,8.600000,37.400000,8.140000,30.100000,0.005229,-0.100905,44.100000,1.450404,8.602732,0.000000,0.365274,1149.750971,16.556826,-0.389600,N,SAM 2020.11.29 r2,12/1/2021
